Aylara göre turizm geliri, ziyaretçi sayýsý ve kiþi baþý ortalama harcama, 2012 - 2020;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tourism income, number of visitors and average expenditure per capita by months, 2012 - 2020;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;2012;;;2013;;;2014;;;2015;;;2016;;;2017;;;2018;;;2019;;;2020;;
Aylar - Months;"Turizm geliri Tourism
income
(000 $)";" Ziyaretçi
sayýsý
Number of
visitors";"Kiþi baþý 
ortalama
harcama
Average
expenditure
per capita
($)";"Turizm geliri Tourism
income
(000 $)";" Ziyaretçi
sayýsý
Number of
visitors";"Kiþi baþý 
ortalama
harcama
Average
expenditure
per capita
($)";"Turizm geliri Tourism
income
(000 $)";" Ziyaretçi
sayýsý
Number of
visitors";"Kiþi baþý 
ortalama
harcama
Average
expenditure
per capita
($)";"Turizm geliri Tourism
income
(000 $)";" Ziyaretçi
sayýsý
Number of
visitors";"Kiþi baþý 
ortalama
harcama
Average
expenditure
per capita
($)";"Turizm geliri Tourism
income
(000 $)";" Ziyaretçi
sayýsý
Number of
visitors";"Kiþi baþý 
ortalama
harcama
Average
expenditure
per capita
($)";"Turizm geliri Tourism
income
(000 $)";" Ziyaretçi
sayýsý
Number of
visitors";"Kiþi baþý 
ortalama
harcama
Average
expenditure
per capita
($)";"Turizm geliri Tourism
income
(000 $)";" Ziyaretçi
sayýsý
Number of
visitors";"Kiþi baþý 
ortalama
harcama
Average
expenditure
per capita
($)";"Turizm geliri Tourism
income
(000 $)";" Ziyaretçi
sayýsý
Number of
visitors";"Kiþi baþý 
ortalama
harcama
Average
expenditure
per capita
($)";"Turizm geliri Tourism
income
(000 $)";" Ziyaretçi
sayýsý
Number of
visitors";"Kiþi baþý 
ortalama
harcama
Average
expenditure
per capita
($)"
Toplam -Total; 29 007 003; 36 463 921;   795; 32 308 991; 39 226 226;   824; 34 305 904; 41 415 070;   828; 31 464 777; 41 617 530;   756; 22 107 440; 31 365 330;   705; 26 283 656; 38 620 346;   681; 29 512 926; 45 628 673;   647; 34 520 332; 51 860 042;   666;;;
Ocak - January; 1 128 718; 1 374 401;   821; 1 450 971; 1 466 128;   990; 1 520 364; 1 575 399;   965; 1 625 569; 1 762 004;   923; 1 411 952; 1 691 287;   835; 1 143 592; 1 568 344;   729; 1 511 187; 2 045 341;   739; 1 585 517; 2 226 288;   712; 1 834 008; 2 529 423;   725
Þubat - February; 1 038 923; 1 209 064;   859; 1 383 654; 1 415 328;   978; 1 442 260; 1 523 245;   947; 1 427 246; 1 564 925;   912; 1 188 825; 1 517 504;   783;  992 270; 1 432 342;   693; 1 301 446; 1 806 822;   720; 1 359 194; 1 944 957;   699; 1 479 447; 2 051 923;   721
Mart - March; 1 356 781; 1 635 696;   829; 1 814 191; 1 892 370;   959; 1 845 212; 1 967 114;   938; 1 816 076; 2 017 645;   900; 1 465 606; 1 898 762;   772; 1 233 891; 1 844 076;   669; 1 612 603; 2 270 019;   710; 1 684 968; 2 473 147;   681;  787 750; 1 058 068;   745
Nisan - April; 1 718 082; 2 231 943;   770; 1 951 501; 2 418 962;   807; 2 103 336; 2 573 139;   817; 1 863 812; 2 626 663;   710; 1 352 858; 2 049 238;   660; 1 372 138; 2 278 538;   602; 1 810 125; 2 870 569;   631; 1 996 446; 3 266 256;   611;-;-;-
Mayýs - May; 2 402 636; 3 194 547;   752; 2 992 734; 3 717 734;   805; 3 146 369; 3 863 883;   814; 2 719 378; 3 775 013;   720; 1 838 478; 2 749 648;   669; 1 905 142; 3 095 282;   615; 2 421 944; 3 790 524;   639; 2 639 675; 4 219 837;   626;-;-;-
Haziran - June; 2 945 297; 3 896 971;   756; 3 371 554; 4 131 081;   816; 3 726 270; 4 530 079;   823; 3 150 486; 4 349 675;   724; 1 789 982; 2 696 149;   664; 2 135 768; 3 489 572;   612; 2 812 521; 4 406 894;   638; 3 337 843; 5 276 253;   633;-;-;-
Temmuz - July; 3 553 776; 4 953 266;   717; 3 469 464; 4 791 585;   724; 3 705 635; 4 952 404;   748; 3 682 936; 5 244 965;   702; 2 390 550; 3 482 544;   686; 3 468 884; 5 032 488;   689; 3 535 009; 5 712 975;   619; 4 384 887; 6 703 045;   654;  561 409;  777 043;   722
Aðustos - August; 3 808 867; 5 384 021;   707; 4 204 769; 5 930 881;   709; 4 946 631; 6 635 627;   745; 4 742 362; 6 748 708;   703; 3 098 464; 4 565 837;   679; 4 270 002; 6 323 888;   675; 4 281 331; 7 052 433;   607; 5 244 124; 8 167 150;   642; 1 622 303; 2 192 917;   740
