Kategori: Tüm kategoriler

Ay,satılık: (Türkiye)
2004-01,17
2004-02,20
2004-03,25
2004-04,19
2004-05,22
2004-06,20
2004-07,20
2004-08,21
2004-09,21
2004-10,20
2004-11,19
2004-12,17
2005-01,20
2005-02,22
2005-03,22
2005-04,21
2005-05,22
2005-06,25
2005-07,23
2005-08,23
2005-09,22
2005-10,19
2005-11,19
2005-12,18
2006-01,18
2006-02,18
2006-03,20
2006-04,19
2006-05,19
2006-06,19
2006-07,18
2006-08,20
2006-09,19
2006-10,18
2006-11,17
2006-12,16
2007-01,19
2007-02,20
2007-03,20
2007-04,19
2007-05,19
2007-06,20
2007-07,21
2007-08,22
2007-09,22
2007-10,20
2007-11,21
2007-12,20
2008-01,22
2008-02,22
2008-03,22
2008-04,22
2008-05,22
2008-06,22
2008-07,22
2008-08,24
2008-09,22
2008-10,22
2008-11,20
2008-12,21
2009-01,22
2009-02,25
2009-03,24
2009-04,25
2009-05,24
2009-06,24
2009-07,24
2009-08,27
2009-09,26
2009-10,26
2009-11,25
2009-12,27
2010-01,28
2010-02,31
2010-03,32
2010-04,31
2010-05,30
2010-06,26
2010-07,29
2010-08,29
2010-09,31
2010-10,33
2010-11,31
2010-12,31
2011-01,33
2011-02,35
2011-03,34
2011-04,33
2011-05,32
2011-06,31
2011-07,33
2011-08,35
2011-09,38
2011-10,34
2011-11,34
2011-12,34
2012-01,33
2012-02,34
2012-03,34
2012-04,31
2012-05,30
2012-06,30
2012-07,33
2012-08,33
2012-09,33
2012-10,30
2012-11,31
2012-12,30
2013-01,31
2013-02,35
2013-03,37
2013-04,36
2013-05,35
2013-06,32
2013-07,36
2013-08,40
2013-09,39
2013-10,36
2013-11,38
2013-12,35
2014-01,39
2014-02,40
2014-03,37
2014-04,40
2014-05,41
2014-06,39
2014-07,39
2014-08,44
2014-09,43
2014-10,42
2014-11,42
2014-12,42
2015-01,42
2015-02,47
2015-03,48
2015-04,44
2015-05,41
2015-06,40
2015-07,44
2015-08,45
2015-09,44
2015-10,45
2015-11,46
2015-12,45
2016-01,50
2016-02,57
2016-03,57
2016-04,55
2016-05,52
2016-06,49
2016-07,50
2016-08,54
2016-09,54
2016-10,56
2016-11,54
2016-12,52
2017-01,53
2017-02,62
2017-03,60
2017-04,54
2017-05,54
2017-06,53
2017-07,57
2017-08,55
2017-09,55
2017-10,54
2017-11,52
2017-12,50
2018-01,52
2018-02,54
2018-03,55
2018-04,51
2018-05,49
2018-06,48
2018-07,53
2018-08,49
2018-09,48
2018-10,44
2018-11,41
2018-12,40
2019-01,41
2019-02,44
2019-03,45
2019-04,41
2019-05,38
2019-06,44
2019-07,46
2019-08,53
2019-09,49
2019-10,50
2019-11,50
2019-12,49
2020-01,53
2020-02,54
2020-03,45
2020-04,42
2020-05,61
2020-06,100
2020-07,80
2020-08,71
2020-09,61
2020-10,60
2020-11,62
